Customer #	Interarrival Time(min)	Service Time (min)
331	2.47	2.40
332	4.09	4.51
333	3.97	3.17
334	2.50	3.43
335	3.75	5.77
336	4.42	3.47
337	5.00	3.06
338	3.47	3.81
339	3.55	2.08
340	3.29	2.68
341	2.32	3.79
342	3.00	1.94
343	4.30	3.21
344	2.79	3.57
345	3.42	3.55
346	2.34	2.35
347	3.86	2.56
348	3.90	3.26
349	4.22	2.97
350	3.48	3.16
351	4.85	1.56
352	3.19	3.87
353	3.98	2.38
354	4.35	3.95
355	3.37	2.55
356	2.37	3.08
357	5.86	4.17
358	2.47	3.36
359	2.38	3.14
360	4.84	2.20
361	3.40	2.78
362	3.56	3.04
363	4.06	2.46
364	3.89	3.33
365	3.79	5.38
366	5.51	2.25
367	2.81	3.52
368	3.09	2.35
369	2.89	2.66
370	4.50	2.42
371	5.81	3.13
372	2.96	1.89
373	1.78	2.19
374	3.28	2.71
375	3.63	2.76
376	4.69	2.55
377	3.85	2.06
378	4.28	3.68
379	3.86	3.40
380	3.55	2.45
381	5.00	1.91
382	5.27	2.66
383	4.59	3.27
384	4.16	3.92
385	3.10	3.34
386	5.44	2.47
387	4.53	1.95
388	4.56	3.88
389	3.57	1.90
390	3.44	2.41
391	5.28	3.18
392	5.62	2.72
393	4.41	3.21
394	4.25	1.66
395	3.14	3.53
396	4.40	2.55
397	4.61	3.36
398	3.64	3.28
399	4.25	2.37
400	3.21	2.45
401	4.94	3.31
402	4.85	2.86
403	4.48	2.11
404	5.65	3.17
405	4.04	5.26
406	4.21	3.32
407	3.35	3.35
408	5.89	3.94
409	5.47	3.51
410	4.26	3.77
411	4.07	3.80
412	2.77	3.89
413	2.92	2.21
414	3.18	1.65
415	3.20	3.18
416	4.24	2.26
417	4.27	3.88
418	4.51	3.50
419	5.40	3.02
420	4.30	2.48
421	2.77	2.16
422	3.68	3.38
423	4.97	1.45
424	5.16	1.39
425	5.36	1.98
426	2.59	1.41
427	3.91	4.10
428	2.70	3.53
429	2.90	2.28
430	3.56	3.38
431	5.02	1.67
432	3.65	3.13
433	2.76	3.89
434	3.33	1.44
435	3.62	3.83
436	4.31	1.99
437	2.99	2.27
438	4.69	4.28
439	2.68	2.28
440	6.26	4.66
441	4.54	3.89
442	3.15	3.61
443	6.17	3.47
444	3.95	3.83
445	3.98	3.07
446	4.12	3.59
447	3.36	2.44
448	3.49	1.71
449	5.69	2.50
450	4.11	2.55
451	3.21	1.57
452	1.70	2.00
453	3.92	4.44
454	4.58	3.06
455	5.15	2.45
456	4.04	2.30
457	5.63	2.53
458	5.64	1.48
459	4.51	2.40
460	5.18	1.72
461	3.72	2.03
462	3.70	1.56
463	3.63	1.12
464	4.12	3.70
465	4.06	3.98
466	4.30	2.39
467	3.03	1.38
468	2.61	2.53
469	5.32	2.83
470	3.79	3.57
471	4.39	4.52
472	4.01	2.52
473	4.31	4.13
474	5.67	2.98
475	4.48	3.19
476	1.55	3.12
477	4.96	0.34
478	4.25	3.53
479	4.91	1.65
480	2.79	2.92
481	3.71	1.72
482	4.14	3.76
483	5.68	2.31
484	4.41	4.12
485	4.47	2.54
486	2.92	3.94
487	2.91	2.28
488	4.31	4.42
489	4.17	4.01
490	3.95	2.93
491	5.07	3.83
492	5.32	1.95
493	3.50	3.67
494	3.35	2.48
495	3.89	2.85
496	5.07	5.23
497	4.06	2.50
498	4.59	2.27
499	4.60	2.53
500	2.74	3.02
